"Time (s) Run #1";"Temperature (°C) Run #1";"Pressure (kPa) Run #1"
0,000;25,6;98,9
0,050;25,6;98,9
0,100;25,6;98,9
0,150;25,6;98,9
0,200;25,6;98,9
0,250;25,6;98,9
0,300;25,6;98,9
0,350;25,5;98,8
0,400;25,6;98,8
0,450;25,6;98,8
0,500;25,6;98,8
0,550;25,6;98,9
0,600;25,5;98,8
0,650;25,6;98,9
0,700;25,6;98,9
0,750;25,6;98,8
0,800;25,6;98,9
0,850;25,6;98,8
0,900;25,6;98,9
0,950;25,6;98,9
1,000;25,6;98,8
1,050;25,6;98,8
1,100;25,6;98,8
1,150;25,6;98,8
1,200;25,6;98,8
1,250;25,6;98,8
1,300;25,6;98,8
1,350;25,6;98,8
1,400;25,6;98,8
1,450;25,6;98,8
1,500;25,6;98,8
1,550;25,6;98,8
1,600;25,6;98,8
1,650;25,6;98,8
1,700;25,6;98,9
1,750;25,6;98,8
1,800;25,6;98,8
1,850;25,6;98,8
1,900;25,6;98,8
1,950;25,6;98,9
2,000;25,6;98,8
2,050;25,6;98,8
2,100;25,6;98,8
2,150;25,6;98,9
2,200;25,6;98,8
2,250;25,6;98,9
2,300;25,6;98,9
2,350;25,6;98,9
2,400;25,6;98,9
2,450;25,6;98,9
2,500;25,6;98,9
2,550;25,6;98,9
2,600;25,6;98,9
2,650;25,6;98,9
2,700;25,6;98,9
2,750;25,6;98,9
2,800;25,6;98,9
2,850;25,6;98,9
2,900;25,6;98,9
2,950;25,6;98,9
3,000;25,6;98,9
3,050;25,6;98,9
3,100;25,6;98,9
3,150;25,6;98,9
3,200;25,6;98,9
3,250;25,6;98,9
3,300;25,6;98,9
3,350;25,6;98,9
3,400;25,6;98,9
3,450;25,6;98,9
3,500;25,6;98,9
3,550;25,6;98,9
3,600;25,6;98,9
3,650;25,6;98,9
3,700;25,6;98,9
3,750;25,6;98,9
3,800;25,6;98,9
3,850;25,6;98,9
3,900;25,6;98,9
3,950;25,6;98,9
4,000;25,6;98,9
4,050;25,6;98,9
4,100;25,6;98,9
4,150;25,6;98,9
4,200;25,6;98,9
4,250;25,6;98,9
4,300;25,6;98,9
4,350;25,6;101,4
4,400;25,6;114,1
4,450;25,6;136,1
4,500;25,6;159,2
4,550;25,6;176,4
4,600;25,6;183,8
4,650;25,6;191,4
4,700;25,6;196,7
4,750;25,6;198,7
4,800;25,6;200,1
4,850;25,6;200,8
4,900;25,6;200,9
4,950;25,6;200,3
5,000;25,6;199,4
5,050;25,6;198,5
5,100;25,6;197,5
5,150;25,6;196,6
5,200;25,6;195,7
5,250;25,6;194,7
5,300;25,6;193,7
5,350;25,6;192,6
5,400;25,6;191,3
5,450;25,6;189,9
5,500;25,6;188,5
5,550;25,6;186,8
5,600;25,6;185,5
5,650;25,9;184,2
5,700;26,7;182,8
5,750;28,2;181,4
5,800;30,1;180,1
5,850;32,1;179,0
5,900;34,1;177,8
5,950;36,1;176,8
6,000;37,9;175,6
6,050;39,5;174,4
6,100;41,0;173,3
6,150;42,3;172,1
6,200;43,6;171,1
6,250;44,7;170,1
6,300;45,5;169,1
6,350;46,0;168,1
6,400;46,2;167,2
6,450;46,4;166,4
6,500;46,4;165,8
6,550;46,4;165,2
6,600;46,4;164,8
6,650;46,3;164,3
6,700;46,1;164,0
6,750;45,9;163,7
6,800;45,7;163,6
6,850;45,4;163,5
6,900;45,0;163,5
6,950;44,6;163,5
7,000;44,2;163,4
7,050;43,8;163,3
7,100;43,3;163,3
7,150;42,8;163,3
7,200;42,4;163,3
7,250;41,8;163,2
7,300;41,3;163,1
7,350;40,8;163,0
7,400;40,3;162,7
7,450;39,8;162,6
7,500;39,3;162,5
7,550;38,8;162,5
7,600;38,2;162,4
7,650;37,7;162,4
7,700;37,3;162,3
7,750;36,8;162,3
7,800;36,3;162,2
7,850;35,8;162,1
7,900;35,4;162,1
7,950;34,9;162,0
8,000;34,5;162,0
8,050;34,1;162,0
8,100;33,7;162,0
8,150;33,4;162,1
8,200;33,0;162,1
8,250;32,7;162,1
8,300;32,4;162,1
8,350;32,1;162,1
8,400;31,8;162,1
8,450;31,5;162,1
8,500;31,2;162,1
8,550;30,9;162,1
8,600;30,7;162,1
8,650;30,5;162,1
8,700;30,2;162,1
8,750;30,0;162,1
8,800;29,8;162,1
8,850;29,6;162,1
8,900;29,4;162,1
8,950;29,2;162,1
9,000;29,0;162,1
9,050;28,9;162,1
9,100;28,7;162,0
9,150;28,5;162,0
9,200;28,4;161,9
9,250;28,2;161,7
9,300;28,1;161,6
9,350;28,0;161,4
9,400;27,8;161,2
9,450;27,7;161,1
9,500;27,6;160,9
9,550;27,5;160,8
9,600;27,4;160,6
9,650;27,3;160,5
9,700;27,2;160,4
9,750;27,1;160,3
9,800;27,0;160,1
9,850;26,9;160,0
9,900;26,9;159,8
9,950;26,8;159,7
10,000;26,7;159,6
10,050;26,7;159,5
10,100;26,6;159,3
10,150;26,5;159,3
10,200;26,5;159,3
10,250;26,4;159,2
10,300;26,4;159,1
10,350;26,3;159,0
10,400;26,3;158,9
10,450;26,2;158,7
10,500;26,2;158,5
10,550;26,2;158,4
10,600;26,1;158,2
10,650;26,1;158,1
10,700;26,0;158,0
10,750;26,0;157,8
10,800;25,9;157,7
10,850;25,9;157,7
10,900;25,8;157,6
10,950;25,8;157,6
11,000;25,7;157,6
11,050;25,7;157,6
11,100;25,7;157,5
11,150;25,6;157,5
11,200;25,6;157,4
11,250;25,5;157,3
11,300;25,5;157,3
11,350;25,4;157,2
11,400;25,4;157,1
11,450;25,3;157,0
11,500;25,3;156,9
11,550;25,3;156,8
11,600;25,2;156,7
11,650;25,2;156,6
11,700;25,2;156,4
11,750;25,1;156,3
11,800;25,1;156,2
11,850;25,1;156,1
11,900;25,0;156,0
11,950;25,0;155,9
12,000;24,9;155,9
12,050;24,9;155,8
12,100;24,9;155,7
12,150;24,8;155,7
12,200;24,8;155,6
12,250;24,8;155,5
12,300;24,7;155,4
12,350;24,7;155,3
12,400;24,7;155,2
12,450;24,7;155,1
12,500;24,7;155,0
12,550;24,6;155,0
12,600;24,6;154,9
12,650;24,6;154,9
12,700;24,6;154,9
12,750;24,5;154,8
12,800;24,5;154,7
12,850;24,5;154,6
12,900;24,5;154,5
12,950;24,5;154,4
13,000;24,4;154,2
13,050;24,4;154,1
13,100;24,4;154,0
13,150;24,4;153,8
13,200;24,4;153,7
13,250;24,4;153,6
13,300;24,3;153,5
13,350;24,3;153,5
13,400;24,3;153,5
13,450;24,3;153,5
13,500;24,3;153,5
13,550;24,3;153,4
13,600;24,2;153,4
13,650;24,2;153,4
13,700;24,2;153,4
13,750;24,2;153,4
13,800;24,2;153,4
13,850;24,2;153,3
13,900;24,2;153,3
